Designator,Mid X,Mid Y,Rotation,Layer
C1,173.4,-49.9332,0.0,bottom
C10,156.5148,-139.098,90.0,top
C11,162.7976,-72.0532,180.0,bottom
C12,162.7976,-79.47,180.0,bottom
C13,140.2312,-128.1123,270.0,top
C14,156.5148,-128.11,270.0,top
C15,148.3812,-128.1123,270.0,top
C16,180.7464,-41.7068,90.0,top
C17,181.1528,-53.5432,90.0,top
C18,175.0568,-53.5432,270.0,top
C19,186.1312,-48.4632,270.0,top
C2,173.3416,-57.306,0.0,bottom
C20,162.8648,-59.5754,90.0,top
C21,174.5488,-68.059,270.0,top
C22,176.0936,-68.059,270.0,top
C23,158.9402,-51.816,0.0,top
C24,169.2916,-55.4228,90.0,top
C25,172.2758,-52.9844,180.0,top
C26,151.0792,-53.1368,180.0,top
C27,151.0778,-51.0984,180.0,top
C28,164.7196,-55.4098,90.0,top
C29,166.2436,-55.4098,90.0,top
C3,173.2908,-64.6432,0.0,bottom
C30,167.7676,-55.4098,90.0,top
C31,176.3776,-61.201,90.0,top
C32,177.9016,-61.2132,90.0,top
C33,156.2608,-59.826,90.0,top
C34,156.3624,-64.4234,90.0,top
C35,191.2112,-135.001,270.0,top
C36,184.536,-82.124,0.0,top
C37,184.536,-84.1688,0.0,top
C38,184.5208,-86.2264,0.0,top
C39,184.5208,-88.2584,0.0,top
C4,173.2476,-72.0532,0.0,bottom
C40,184.370021,-69.9196,0.0,top
C41,184.3732,-77.1332,0.0,top
C42,168.7954,-77.7936,180.0,top
C43,168.8084,-79.3176,180.0,top
C44,176.3906,-72.5412,180.0,top
C45,187.0456,-94.0496,90.0,top
C48,185.0644,-122.2248,180.0,top
C49,181.5592,-122.2248,0.0,top
C5,173.2476,-79.47,0.0,bottom
C50,172.974,-44.4246,90.0,top
C6,162.95,-49.9332,180.0,bottom
C7,162.8916,-57.306,180.0,bottom
C8,162.8408,-64.6432,180.0,bottom
C9,148.3648,-139.098,90.0,top
D1,156.5656,-44.2468,90.0,top
D10,151.2316,-105.3338,0.0,top
D11,184.8612,-105.1052,180.0,top
D12,195.1482,-129.9464,180.0,top
D2,185.5102,-63.2968,180.0,top
D3,185.5102,-64.8208,180.0,top
D5,195.1456,-125.3744,180.0,top
D6,195.1456,-126.8984,180.0,top
D7,195.1456,-128.4224,180.0,top
D8,186.3664,-99.7392,180.0,top
D9,169.672,-70.072,180.0,top
J2,181.3952,-58.6232,270.0,top
J3,168.0988,-133.1374,180.0,top
J4,178.9176,-138.9264,180.0,top
J5,154.686,-73.9272,270.0,bottom
J6,194.6302,-102.5666,270.0,top
J7,141.5368,-102.7148,90.0,top
J8,141.5368,-114.99,90.0,top
J9,194.6302,-114.9096,270.0,top
L1,160.046,-54.9148,270.0,top
Q1,170.3516,-48.768,0.0,top
Q2,162.2242,-47.4676,180.0,top
Q3,149.02,-136.9531,0.0,bottom
Q4,161.4456,-77.9718,180.0,top
Q5,152.769,-114.4206,180.0,top
Q6,183.3746,-114.5222,0.0,top
R1,176.4792,-44.0944,270.0,top
R10,180.2892,-51.2572,0.0,top
R11,172.974,-70.358,180.0,top
R12,163.1696,-55.4228,270.0,top
R13,163.1696,-52.3748,90.0,top
R14,181.61,-134.938,90.0,top
R15,182.322,-63.2968,0.0,top
R16,182.3212,-64.8208,0.0,top
R17,167.6654,-45.1866,0.0,top
R18,170.6878,-45.1866,180.0,top
R19,191.947,-125.3744,0.0,top
R2,179.2224,-41.7068,270.0,top
R20,191.947,-126.8984,0.0,top
R21,191.947,-128.4224,0.0,top
R22,176.3906,-74.0652,180.0,top
R23,141.5796,-121.6753,270.0,bottom
R24,145.542,-121.6753,270.0,bottom
R25,149.5044,-121.6753,270.0,bottom
R26,153.4668,-121.6914,270.0,bottom
R27,141.5796,-129.4291,270.0,bottom
R28,145.542,-129.4291,270.0,bottom
R29,149.5044,-129.4291,270.0,bottom
R3,179.6288,-53.5432,270.0,top
R30,153.4668,-129.4291,270.0,bottom
R31,174.7012,-78.6064,90.0,top
R32,173.1772,-78.6064,90.0,top
R33,166.4572,-70.068,0.0,top
R34,166.4594,-71.596,0.0,top
R35,166.8748,-74.7764,90.0,top
R36,171.6532,-78.5864,270.0,top
R37,165.037,-118.2116,0.0,top
R38,191.947,-129.9464,0.0,top
R39,171.704,-110.3376,270.0,top
R4,178.1048,-53.5432,90.0,top
R5,186.7916,-51.9684,90.0,top
R6,180.1368,-44.2468,0.0,top
R7,177.229,-49.7332,0.0,top
R8,176.5808,-53.5432,90.0,top
R9,177.229,-51.2572,0.0,top
SW1,151.876,-59.953,0.0,top
SW2,151.876,-64.4234,0.0,top
T1,167.740221,-91.5862,180.0,top
U1,184.3426,-52.4416,270.0,top
U10,177.5206,-64.713,270.0,top
U2,181.9656,-47.8928,270.0,top
U3,172.2657,-55.5904,0.0,top
U4,155.0781,-52.4205,180.0,top
U5,169.6626,-63.1888,90.0,top
U6,186.4868,-134.9614,90.0,top
U7,171.2936,-74.3196,0.0,top
U8,168.0988,-114.5794,270.0,top
U9,183.2447,-125.6989,180.0,top
